,noticias,personas_detectadas
920,Al Pan Pan con Rodrigo Reyes e Iván Flores: nuevo director PDI y derrota oficialista en el Senado,"['Rodrigo Reyes', 'Iván Flores']"
925,Presidente Boric nombra nuevo jefe de la PDI tras detención de exdirector Sergio Muñoz,"['Presidente Boric', 'Sergio Muñoz']"
940,Lautaro Arias y Marcelo Araya: los nombres que suenan para asumir en la PDI y Carabineros,"['Lautaro Arias', 'Marcelo Araya']"
942,Abogado Luis Hermosilla recibió más de $230 millones durante gobiernos de Sebastián Piñera,"['Luis Hermosilla', 'Sebastián Piñera']"
952,Juntos y Revueltos: Leo Jofré y Cristián Stewart sobre la fragilidad de las policías tras caso Muñoz,"['Leo Jofré', 'Cristián Stewart']"
953,Al Pan Pan: Claudio González y Henry Leal comentaron la actividad económica y el caso Hermosilla,"['Claudio González', 'Henry Leal']"
969,"Al Pan Pan: Daniel Manouchehri y Cristián Valdivieso sobre renuncia de Muñoz, municipales y más","['Daniel Manouchehri', 'Cristián Valdivieso']"
998,Asociación Nacional de Magistradas y Magistrados contra Ximena Rincón y Matías Walker,"['Ximena Rincón', 'Matías Walker']"
1011,"Senadora Gatica critica actitud ""mezquina"" y ""egoísta"" de Marcela Cubillos por disputa de Las Condes","['Senadora Gatica', 'Marcela Cubillos']"
1016,Gobierno propone a Ximena Fuentes y Manahi Pakarati para embajadas de Reino Unido y Nueva Zelanda,"['Ximena Fuentes', 'Manahi Pakarati']"
1033,"Exdiplomático Pablo Cabrera califica de ""atípico"" el comportamiento de Gil Artzyeli con el Gobierno","['Pablo Cabrera', 'Gil Artzyeli']"
1035,"Gael Yeomans pide ""defender la soberanía nacional"" ante ""exabruptos"" de embajador Gil Artzyeli","['Gael Yeomans', 'Gil Artzyeli']"
1041,Nicolás Preuss (DC) baja candidatura a gobernador por la RM y aumenta presión sobre Claudio Orrego,"['Nicolás Preuss', 'Claudio Orrego']"
1064,"Presidente Boric defiende exclusión de Israel en FIDAE: ""Lo mismo hizo Sebastián Piñera con Rusia""","['Presidente Boric', 'Sebastián Piñera']"
1070,Pedro Sánchez llega a Chile para reunirse con el Presidente Boric y conmemorar el 8M,"['Pedro Sánchez', 'Presidente Boric']"
1094,Evelyn Matthei acaricia el cetro político de Sebastián Piñera,"['Evelyn Matthei', 'Sebastián Piñera']"
1145,Francisco Covarrubias: nuevo rector de la UAI tras sorpresiva renuncia de Harald Beyer,"['Francisco Covarrubias', 'Harald Beyer']"
1165,Daniel Andrade y Carlos Contreras salen de prisión y quedan con arresto domiciliario y arraigo,"['Daniel Andrade', 'Carlos Contreras']"
1202,"Macarena Ripamonti apunta a Mario Zumelzu: ""Su actuar es impúdico, no tiene humanidad""","['Macarena Ripamonti', 'Mario Zumelzu']"
1300,Andrés Chadwick reemplazará a Sebastián Piñera en Grupo Libertad y Democracia,"['Andrés Chadwick', 'Sebastián Piñera']"
1328,Ministra Vallejo emplaza a la oposición a imitar el sentido de autocrítica del Presidente Boric,"['Ministra Vallejo', 'Presidente Boric']"
1348,Caso Hermosilla: SII reintegró a jefe de Grandes Contribuyentes,"['Caso Hermosilla', 'Grandes Contribuyentes']"
1357,Carmen Herzt acusa negacionismo en discurso del Presidente Boric,"['Carmen Herzt', 'Presidente Boric']"
1372,Mineros de San José reciben ovación tras misa fúnebre de Sebastián Piñera,"['San José', 'Sebastián Piñera']"
1374,Misa fúnebre de Sebastián Piñera congregó desde José Piñera hasta los mineros,"['Sebastián Piñera', 'José Piñera']"
1377,"Presidente Boric reconoce excesos en ""querellas y recriminaciones"" contra Sebastián Piñera","['Presidente Boric', 'Sebastián Piñera']"
1381,Suspenden homenaje político a Sebastián Piñera que iba a ser encabezado por Andrés Chadwick,"['Sebastián Piñera', 'Andrés Chadwick']"
1385,"José Antonio Kast recuerda ""luces y sombras"" del expresidente Sebastián Piñera","['José Antonio Kast', 'Sebastián Piñera']"
1388,Derecha prepara homenaje político a Sebastián Piñera con Andrés Chadwick a la cabeza,"['Sebastián Piñera', 'Andrés Chadwick']"
1392,Juan Diego Montalva y Marta Lagos: ¿Qué viene ahora para la derecha chilena sin la figura de Piñera?,"['Juan Diego Montalva', 'Marta Lagos']"
1397,"Familia Piñera Morel publica obituario para recordar a Sebastián Piñera: ""Tu legado vivirá""","['Familia Piñera Morel', 'Sebastián Piñera']"
1401,Karla Rubilar plantea que Evelyn Matthei es la continuadora del legado político de Sebastián Piñera,"['Karla Rubilar', 'Evelyn Matthei', 'Sebastián Piñera']"
1402,Ministros del Presidente Boric presentes en velorio de expresidente Sebastián Piñera,"['Presidente Boric', 'Sebastián Piñera']"
1420,"Presidente Boric lamenta fallecimiento de Sebastián Piñera: ""Fue un demócrata desde la primera hora""","['Presidente Boric', 'Sebastián Piñera']"
1517,"Karol Cariola tras críticas de pdte. Boric a ""Negro Matapacos"": ""Es muy importante que todos hagamos una reflexión""                      
                    ","['Karol Cariola', 'Negro Matapacos']"
1519,"Javier Milei ""demostró capacidad de negociación"": Raúl Sohr y los efectos de la aprobación de la ""Ley Ómnibus"" en Argentina                      
                    ","['Javier Milei', 'Raúl Sohr']"
1529,"Murió Sergio de Castro, exministro de Hacienda de Augusto Pinochet                      
                    ","['Sergio de Castro', 'Hacienda de Augusto Pinochet']"
1535,"Iván Moreira: ""No tenemos por qué apresurar la campaña presidencial de Evelyn Matthei""                      
                    ","['Iván Moreira', 'Evelyn Matthei']"
1545,"Franco Parisi sobre expulsión de Gaspar Rivas del PDG: ""Varios ratones han salido y los vamos a seguir sacando""                      
                    ","['Franco Parisi', 'Gaspar Rivas del PDG']"
1550,"Rojo Edwards, Gonzalo de la Carrera, J. A. Kast y más: Figuras políticas lamentan la muerte de Sergio Melnick                      
                    ","['Rojo Edwards', 'Gonzalo de la Carrera', 'J. A. Kast', 'Sergio Melnick']"
1564,"Murió Francisco Prat Alemparte, exsenador, bisnieto de Arturo Prat y uno de los fundadores de RN                      
                    ","['Francisco Prat Alemparte', 'Arturo Prat']"
1571,"Tolerancia Cero: Alfredo Joignant y Eduardo Sepúlveda analizan lo que se viene para la política en 2024                      
                    ","['Alfredo Joignant', 'Eduardo Sepúlveda']"
1580,"Javier Milei anula aumento de sueldos a su gabinete y desafía jubilación de Cristina Fernández                      
                    ","['Javier Milei', 'Cristina Fernández']"
1602,"Johannes Kaiser asegura que su proyecto presidencial se encuentra más a la derecha que el de José Antonio Kast                      
                    ","['Johannes Kaiser', 'José Antonio Kast']"
1618,"Sergio Bitar tras retiro del expresidente Ricardo Lagos: ""Una de las grandes lecciones que deja es saber gobernar bien""                      
                    ","['Sergio Bitar', 'Ricardo Lagos']"
1641,"Tolerancia Cero 2023: Lautaro Carmona y Carlos Maldonado                      
                    ","['Lautaro Carmona', 'Carlos Maldonado']"
1683,"Rodrigo Bastidas: ""Boric tuvo el problema de Edipo: mató al padre Ricardo Lagos y se casó con la madre Carolina Tohá""                      
                    ","['Rodrigo Bastidas', 'Ricardo Lagos', 'Carolina Tohá']"
1703,"Ministra Vallejo respondió a De Gregorio: ""En el Gobierno no compartimos que haya una lucha generacional""                      
                    ","['Ministra Vallejo', 'De Gregorio']"
1705,"Raúl Sohr y el triunfo de Geert Wilders en Países Bajos: ""Tiene puntos en común con Javier Milei""                      
                    ","['Raúl Sohr', 'Geert Wilders', 'Javier Milei']"
1737,"Pepe Auth y el ""voto protesta"" de los argentinos a Javier Milei en primarias: ""Otra cosa es entregarle las llaves de tu país""                      
                    ","['Pepe Auth', 'Javier Milei']"
1742,"Diputadas argentinas Carla Carrizo y Graciela Camaño analizan elecciones: En Argentina ""hay una suerte de tolerancia a lo corrupto""                      
                    ","['Carla Carrizo', 'Graciela Camaño']"
1749,"Ministra Vallejo respaldó la gestión de Javiera Martínez tras críticas de la oposición y llamó a evitar una ""cacería de brujas""                      
                    ","['Ministra Vallejo', 'Javiera Martínez']"
1755,"Gonzalo Winter respalda dichos de la ministra Tohá sobre campamentos: ""Lo peligroso que es legislar a lo Felipe Kast""                      
                    ","['Gonzalo Winter', 'Felipe Kast']"
1757,"Cristián Riego apunta a ""politización"" de Ley de Usurpaciones: ""Muchos parlamentarios la suben como un símbolo""                      
                    ","['Cristián Riego', 'Ley de Usurpaciones']"
1769,"Influyentes 2023, capítulo 28: Cristián Valdivieso y Francisco Undurraga                      
                    ","['Cristián Valdivieso', 'Francisco Undurraga']"
1772,"Cecilia Pérez asumirá como jefa de gabinete de Rodolfo Carter                      
                    ","['Cecilia Pérez', 'Rodolfo Carter']"
