,noticias,personas_detectadas
5059,  Sebastián Piñera  Exministro Espina tras muerte de expresidente Piñera: “Sebastián fue un gran demócrata”,"['Sebastián Piñera', 'Exministro Espina']"
5060,  Piñera  Expresidente Sebastián Piñera fallece en accidente de helicóptero durante vacaciones en Lago Ranco ,"['Piñera  Expresidente', 'Sebastián Piñera']"
5064,  Ricardo Lagos  Ricardo Lagos por muerte de Sebastián Piñera: “Trabajó por el fortalecimiento del diálogo democrático y la búsqueda de acuerdos en beneficio de la ciudadanía”,"['Ricardo Lagos  Ricardo Lagos', 'Sebastián Piñera']"
5065,"  Sebastian Piñera  Ex ministros Chadwick, Varela y el empresario, Choclo Délano: las figuras que acompañaron a Cecilia Morel en Lago Ranco","['Sebastian Piñera  Ex ministros Chadwick', 'Choclo Délano', 'Cecilia Morel']"
5066,  Sebastián Piñera  “Nuestro piloto de la libertad y democracia”: expresidente de Bolivia despide a Sebastián Piñera,"['Sebastián Piñera', 'Sebastián Piñera']"
5068,  Sebastián Piñera  Andrés Chadwick asume rol clave en preparativos de despedida y honores a expresidente Sebastián Piñera ,"['Sebastián Piñera', 'Andrés Chadwick', 'Sebastián Piñera']"
5069,  Sebastián Piñera  Eduardo Frei por fallecimiento de Sebastián Piñera: “Siempre buscó servir a Chile con gran pasión”,"['Sebastián Piñera', 'Eduardo Frei', 'Sebastián Piñera']"
5070,  Sebastián Piñera  El triunfo de Milei y los 50 años del Golpe: los últimos cinco tweets de Sebastián Piñera,"['Sebastián Piñera  ', 'Sebastián Piñera']"
5078,  Sebastián Piñera  Presidente Boric tras muerte del exmandatario Sebastián Piñera: “Fue un demócrata desde la primera hora”,"['Sebastián Piñera  Presidente Boric', 'Sebastián Piñera']"
5081,"  Sebastián Piñera  De manera transversal, partidos políticos lamentan fallecimiento del expresidente Sebastián Piñera","['Sebastián Piñera  ', 'Sebastián Piñera']"
5084,  Sebastián Piñera  Líderes mundiales reaccionan a muerte del expresidente Sebastián Piñera,"['Sebastián Piñera  Líderes mundiales', 'Sebastián Piñera']"
5096,"  Cosena  Senador Jaime Quintana y convocatoria de Boric al Cosena: “Tiene algo más de justificación, pero sigue siendo ineficaz para el propósito que se busca”","['Jaime Quintana', 'Boric al Cosena']"
5112,  Mónica Zalaquett  Mónica Zalaquett (UDI): “Tenemos que hacernos cargo de la caricatura que existe de las mujeres de derecha”,"['Mónica Zalaquett', 'Mónica Zalaquett']"
5113,  Carlos Contreras  Democracia Viva: las cinco claves de la declaración de Carlos Contreras ante la Fiscalía,"['Carlos Contreras  Democracia Viva', 'Carlos Contreras']"
5118,  Pedro Sánchez  Ausencia de Javier Velasco a ceremonia con el Rey de España no afectaría anunciada visita de Pedro Sánchez a Chile,"['Pedro Sánchez  Ausencia', 'Javier Velasco', 'Rey de España', 'Pedro Sánchez']"
5120,  Javier Velasco  Cancillería explica ausencia de embajador de Chile en España a ceremonia ofrecida por el Rey Felipe   ,"['Javier Velasco  Cancillería', 'Rey Felipe']"
5127, Michelle Bachelet  El mensaje de Michelle Bachelet a Ricardo Lagos por su retiro de la vida pública: “Su visión de estadista es un ejemplo a seguir” ,"['Michelle Bachelet', 'Michelle Bachelet', 'Ricardo Lagos']"
5132,  Tatiana Rojas  ¿Por qué RD no pasa a Tatiana Rojas al tribunal supremo del partido por el lío de platas?,"['Tatiana Rojas', 'Tatiana Rojas']"
5153,  Gabriel Boric  La emotiva conversación del Presidente Boric con Ricardo Lagos sobre el Puente Chacao ,"['Gabriel Boric', 'Presidente Boric', 'Ricardo Lagos']"
5155,"  Joquín Lavín  “Competimos duramente, pero nunca nos tratamos como enemigos”: el mensaje de Joaquín Lavín a Ricardo Lagos tras el anuncio de su retiro ","['Joquín Lavín', 'Joaquín Lavín', 'Ricardo Lagos']"
5159,  Ricardo Lagos  Siete episodios de la huella de Ricardo Lagos en la historia ,"['Ricardo Lagos  ', 'Ricardo Lagos']"
5165,  Ricardo Lagos  “Ha sido un valioso aporte para Chile”: Sebastián Piñera agradece “enorme contribución” de Ricardo Lagos tras anuncio de su retiro ,"['Ricardo Lagos', 'Sebastián Piñera', 'Ricardo Lagos']"
5166,  Ricardo Lagos  PPD expresa su “profundo aprecio” por el legado del expresidente Ricardo Lagos: “Despejó el camino para futuros gobiernos progresistas”,"['Ricardo Lagos', 'Ricardo Lagos']"
5167,  Ricardo Lagos  El mundo político reacciona al retiro de la vida pública del expresidente Ricardo Lagos,"['Ricardo Lagos  El', 'Ricardo Lagos']"
5169,  Gabriel Boric  Pensiones de gracia: Presidente Boric descarta “responsabilidad particular de una persona” en otorgamientos cuestionados  ,"['Gabriel Boric  Pensiones', 'Presidente Boric']"
5207,  María Corina Machado  Senadores Rincón y Walker entre los firmantes: Grupo transversal llama al gobierno a condenar inhabilitación política de María Corina Machado,"['María Corina Machado  Senadores Rincón y Walker', 'María Corina Machado']"
5210,  Diego Ibáñez  Diputado Leonardo Soto (PS) reprocha arremetida de Diego Ibáñez contra Ximena Rincón,"['Diego Ibáñez  Diputado Leonardo Soto', 'Diego Ibáñez', 'Ximena Rincón']"
5212,  Evelyn Matthei  Evelyn Matthei por reelección a alcaldía de Providencia: “Es una decisión que tendré que tomar en un par de meses más”,"['Evelyn Matthei', 'Evelyn Matthei']"
5220,  Jaime Bellolio  Jaime Bellolio insta al Presidente Boric a revocar “mañana” todas las pensiones de gracia que tienen algún cuestionamiento,"['Jaime Bellolio  Jaime Bellolio', 'Presidente Boric']"
5226,"  Diego Ibáñez  “Ya lo doy por superado, la verdad”: Ibáñez (CS) evita disculparse con Ximena Rincón y llama a desdramatizar la polémica","['Diego Ibáñez  “Ya lo doy', 'Ximena Rincón']"
5239,  Demócratas  Matías Walker critica declaración de Diego Ibáñez tras polémicos dichos: “La soberbia le ha impedido pedir disculpas”,"['Matías Walker', 'Diego Ibáñez']"
5249,"  Diego Ibáñez  La querella de Sutil, el cruce con Fidel Espinoza y el roce con el PPD: las otras polémicas de Diego Ibáñez ","['Diego Ibáñez', 'Fidel Espinoza', 'Diego Ibáñez']"
5252,  Irací Hassler  Trabajo con la comunidad: El argumento de Irací Hassler que le hace sentir “confianza” para las municipales,"['Irací Hassler  Trabajo', 'Irací Hassler']"
5290,"  Irací Hassler  Tras anuncio de Hassler por la reelección en Santiago, socialistas, demócratas e independientes expresan apoyo a Ismael Calderón","['Irací Hassler', 'Ismael Calderón']"
5294,  Michelle Bachelet  Las ofertas en el exterior que le han llegado a Michelle Bachelet ,"['Michelle Bachelet', 'Michelle Bachelet']"
5300,  Cathy Barriga  Diputado Lavín reaparece en el Congreso y se refiere a formalización de Cathy Barriga,"['Cathy Barriga  Diputado Lavín', 'Cathy Barriga']"
5318,  Javier Macaya  Macaya (UDI) por posible candidatura presidencial de Evelyn Matthei: “Es la que tiene mejores posibilidades de ganar una elección”,"['Javier Macaya  Macaya', 'Evelyn Matthei']"
5319,  Javier Macaya  Presidente de la UDI por Cathy Barriga: “No fue posible orientarla más en su gestión”,"['Javier Macaya  Presidente', 'Cathy Barriga']"
5321,  Mariano Ruiz-Esquide  “Chile pierde a un demócrata ejemplar”: las reacciones que generó la muerte de Mariano Ruiz-Esquide,"['Mariano Ruiz-Esquide  “Chile', 'Mariano Ruiz-Esquide']"
5324,"  Sebastián Piñera  Ex subse. Juan Francisco Galli por llamado de Piñera a venezolanos: “Más que una invitación, lo que hubo fue un reconocimiento a una realidad”","['Sebastián Piñera  Ex', 'Juan Francisco Galli']"
5335,  Maisa Rojas  Diputado Daniel Melo (PS) y situación de Maisa Rojas: “Debe enmendar este error y pedir disculpas”,"['Maisa Rojas  Diputado Daniel Melo', 'Maisa Rojas']"
5341,  Alberto Van Klaveren  Canciller Van Klaveren califica de “polémica artificial” cuestionamientos tras reunión con Zalaquett,"['Alberto Van Klaveren', 'Canciller Van Klaveren']"
5361,  Joaquín Lavín León  Fiscalía lo mencionó en formalización de Barriga: diputados PS y FA llevarán Comisión de Ética a Joaquín Lavín ,"['Joaquín Lavín León  Fiscalía', 'Joaquín Lavín']"
5367,  Gabriel Boric  Presidente Boric abre la puerta a regreso de Giorgio Jackson: “Espero que lo tengamos de vuelta pronto”,"['Gabriel Boric  Presidente Boric', 'Giorgio Jackson']"
5375,  Pablo Zalaquett  Estos son los empresarios que se reunieron con la ministra Carolina Tohá,"['Pablo Zalaquett', 'Carolina Tohá']"
5408,  Pablo Zalaquett  Senador De Urresti (PS) por reuniones de ministros en casa de Zalaquett: “Eso es lobby aquí y en la quebrada del ají”,"['Pablo Zalaquett', 'Senador De Urresti']"
5409,  PPD  Francisco Vidal por Natalia Piergentili: “Evidentemente está en una situación bien compleja”,"['Francisco Vidal', 'Natalia Piergentili']"
5416,  Presidente Gabriel Boric  El intenso apoyo de Boric a Bernardo Arévalo en compleja toma de posesión en Guatemala,"['Gabriel Boric', 'Bernardo Arévalo']"
5427,  Presidente Gabriel Boric  Asunción de Bernardo Arévalo: Presidente Boric viaja a Guatemala para asistir al cambio de mando presidencial,"['Gabriel Boric  Asunción', 'Bernardo Arévalo', 'Presidente Boric']"
5431,  Pablo Zalaquett  Zalaquett sale en defensa de reuniones en su casa con críticas a Enrique Correa y Ossandón,"['Pablo Zalaquett', 'Enrique Correa']"
5432,  Manuel Monsalve  Monsalve por formalización de Ricardo Yáñez: “Iremos evaluando si esto afecta el funcionamiento institucional”,"['Manuel Monsalve  Monsalve', 'Ricardo Yáñez']"
5433,  PPD  Natalia Piergentili afirma que pagos de empresa de Pablo Zalaquett son por “asesoría periódica”,"['Natalia Piergentili', 'Pablo Zalaquett']"
5457,  Karol Cariola  Karol Cariola se suma a críticas por reuniones de ministros con Zalaquett: “Fue un error y hay que decirlo con todas sus letras”,"['Karol Cariola', 'Karol Cariola']"
5463,  Maisa Rojas  Tras encuentro en casa de Zalaquett: Maisa Rojas afirma que ministerio registrará desde ahora reuniones “aunque no sean de lobby” ,"['Maisa Rojas', 'Maisa Rojas']"
5477,  José Antonio Kast  Kast y renuncia de Johannes Kaiser al Partido Republicano: “Hizo lo correcto a diferencia de otros parlamentarios” ,"['José Antonio Kast  Kast', 'Johannes Kaiser']"
5487,  Luis Cordero  Oficio a ministerios por Ley de Lobby: Cordero apunta a una “obligación” de Contraloría y dice que no hay sanciones en curso,"['Luis Cordero  Oficio', 'Ley de Lobby: Cordero']"
5494,  Pablo Zalaquett  Senador Lagos Weber también reconoce haber asistido a encuentro en la casa de Zalaquett,"['Pablo Zalaquett', 'Lagos Weber']"
5495,  Giorgio Jackson  Coletazos tras respaldo del PS a Fidel Espinoza: desde el Frente Amplio acusan deslealtad con el Presidente,"['Giorgio Jackson', 'Fidel Espinoza']"
5499,  Dorothy Pérez  Contraloría descarta que Dorothy Pérez haya asistido a reuniones en casa de Zalaquett,"['Dorothy Pérez  Contraloría', 'Dorothy Pérez']"
5505,  Fidel Espinoza  Senador Espinoza dice que el Presidente Boric le aseguró que no sabía de la ofensiva legal de Jackson,"['Fidel Espinoza  Senador Espinoza', 'Presidente Boric']"
5506,  Giorgio Jackson  Los dichos de Fidel Espinoza que lo llevaron a ser denunciado por Giorgio Jackson,"['Giorgio Jackson', 'Fidel Espinoza', 'Giorgio Jackson']"
5509,  Pablo Longueira  Aceptan solicitud de Pablo Longueira para exponer ante comisión de la Cámara por nueva Ley de Pesca,"['Pablo Longueira', 'Pablo Longueira']"
5511,  Irina Karamanos  Irina Karamanos: “Solamente usé el poder para ir desarmándolo”,"['Irina Karamanos', 'Irina Karamanos']"
5512,"  Giorgio Jackson  Frente Amplio respalda a Giorgio Jackson tras acciones legales contra Fidel Espinoza, la UDI y Jorge Errázuriz","['Giorgio Jackson', 'Giorgio Jackson', 'Fidel Espinoza', 'Jorge Errázuriz']"
5524,"  Giorgio Jackson  Quién es Jorge Errázuriz, el empresario contra el que se querelló Giorgio Jackson","['Giorgio Jackson', 'Jorge Errázuriz', 'Giorgio Jackson']"
5527,"  Giorgio Jackson  Arremetida judicial de Giorgio Jackson apunta a directiva UDI, a senador Espinoza (PS) y a empresario Jorge Errázuriz","['Giorgio Jackson', 'Giorgio Jackson', 'Jorge Errázuriz']"
5530,  Cancillería  Presidente Boric designa a exministro Juan Carlos García como embajador de Chile en Canadá ,"['Cancillería  Presidente Boric', 'Juan Carlos García']"
5543,  Pablo Zalaquett  Álvaro Elizalde (PS) y Juan Antonio Coloma (UDI) asistieron a reunión con Pablo Zalaquett: ministro lo hizo cuando era senador,"['Pablo Zalaquett', 'Álvaro Elizalde', 'Juan Antonio Coloma', 'Pablo Zalaquett']"
5554,  Adriana Delpiano  Exministra de Educación Adriana Delpiano no respalda “perdonazo” global del CAE: “Hay demasiadas prioridades en el uso de los recursos”,"['Adriana Delpiano', 'Exministra de Educación', 'Adriana Delpiano']"
5584,  Congreso  El llamado de atención al diputado Cristián Labbé por tratar al ministro Carlos Montes de “abuelo chocho”,"['Cristián Labbé', 'Carlos Montes']"
5589,  Ricardo Yáñez  Ocho diputados de comisión de Seguridad de la Cámara envían carta de respaldo a general Yáñez tras anuncio de formalización ,"['Ricardo Yáñez  Ocho', 'general Yáñez']"
5608,  Celestino Córdova  Gobierno apelará ante la Corte Suprema por eventual libertad condicional de Celestino Córdova,"['Celestino Córdova  Gobierno', 'Celestino Córdova']"
5611,  Daniel Jadue  Alcalde Jadue responde a críticas de Carmen Hertz por declaración sobre judíos: “La alusión a los nazis no es a ellos”,"['Daniel Jadue  Alcalde Jadue', 'Carmen Hertz']"
5616,  Lautaro Carmona  Presidente del PC interviene tras críticas de Carmen Hertz a Jadue: “Le he pedido a las partes que dialoguen entre ellos”,"['Lautaro Carmona  Presidente', 'Carmen Hertz']"
5617,  Miguel Crispi  Crispi confirma asistencia a comisión de la Cámara que revisa acusación contra Carlos Montes ,"['Miguel Crispi  Crispi', 'Carlos Montes']"
5630,  Daniel Andrade  “Patética puesta en escena” y “no es un preso político”: las reacciones a la declaración de Daniel Andrade desde la cárcel ,"['Daniel Andrade', 'Daniel Andrade']"
5634,  Gabriel Boric  “La gente espera soluciones de la política”: Presidente Boric llama a concretar el pacto fiscal y alza en pensiones,"['Gabriel Boric', 'Presidente Boric']"
5637,  Cadem  Encuesta Cadem: Presidente Boric cierra el 2023 con un 31% de aprobación,"['Cadem  Encuesta Cadem', 'Presidente Boric']"
5640,  Fernando Chomalí  Arzobispo Chomalí por polémico tuit de delegada Martínez sobre la Iglesia: “Espero haya cambiado su modo de pensar y hacer política”,"['Fernando Chomalí', 'Arzobispo Chomalí']"
5643,  Pablo Longueira  Pablo Longueira advierte que “si Chile Vamos no es bien liderado” podría “desaparecer” como la Concertación,"['Pablo Longueira', 'Pablo Longueira']"
5646,  Lautaro Carmona  Indulto a Luis Castillo: Carmona dice que es una situación que “complejiza y complica” al gobierno ,"['Lautaro Carmona  Indulto', 'Luis Castillo']"
5656,  Política  Líos de platas: solicitan desafuero para Catalina Pérez y ampliación de querella contra Carlos Contreras,"['Catalina Pérez', 'Carlos Contreras']"
5660,  Gabriel Boric  La alusión del Presidente Boric a Francisco Covarrubias: “Un columnista menor” ,"['Gabriel Boric', 'Presidente Boric', 'Francisco Covarrubias']"
5662,  Carlos Montes  Las silenciosas y fallidas gestiones de Cristián Monckeberg para evitar la acusación a Carlos Montes,"['Carlos Montes  Las silenciosas', 'Cristián Monckeberg', 'Carlos Montes']"
5670,  Carlos Montes  Respuesta de Carlos Montes adelanta los plazos: acusación constitucional se votará el jueves 4 de enero ,"['Carlos Montes  Respuesta de', 'Carlos Montes']"
5675,  Gabriel Boric  Boric nombra a Nicole Vergara como su nueva jefa de comunicaciones,"['Gabriel Boric  Boric', 'Nicole Vergara']"
5700,  Paulina Vodanovic  Paulina Vodanovic: “Que Michelle Bachelet esté preocupada del país no quiere decir que quiera ser candidata a la presidencia”,"['Paulina Vodanovic  Paulina Vodanovic', 'Michelle Bachelet']"
5713,  Arturo Barrios  Presidenta del PS respalda a Arturo Barrios tras polémicos dichos: “No deben malinterpretarse”,"['Arturo Barrios  Presidenta', 'Arturo Barrios']"
5715,  Michelle Bachelet  Dura crítica de José Antonio Kast a Bachelet: asegura que al gobernar “mostró su completa incapacidad”,"['Michelle Bachelet  Dura', 'José Antonio Kast']"
5721,  Javier Milei  Milei designa a excanciller Jorge Faurie como embajador de Argentina en Chile,"['Javier Milei  Milei', 'Jorge Faurie']"
5728,  Arturo Barrios  Presidenta del PS respalda a Arturo Barrios tras polémicos dichos: “No deben malinterpretarse”,"['Arturo Barrios  Presidenta', 'Arturo Barrios']"
5730,  Michelle Bachelet  Dura crítica de José Antonio Kast a Bachelet: asegura que al gobernar “mostró su completa incapacidad”,"['Michelle Bachelet  Dura', 'José Antonio Kast']"
5736,  Javier Milei  Milei designa a excanciller Jorge Faurie como embajador de Argentina en Chile,"['Javier Milei  Milei', 'Jorge Faurie']"
5740,  Michelle Bachelet  Los pasos de Michelle Bachelet tras su protagónico rol en la campaña del “En contra”,"['Michelle Bachelet', 'Michelle Bachelet']"
5742,"  Francisco Vidal  Vallejo responde a críticas por nombramiento de Francisco Vidal en TVN:  “Es una persona que no asume cargos por premios, sino que por compromiso de un proyecto”","['Francisco Vidal  Vallejo', 'Francisco Vidal']"
5750,  Gabriel Boric  Boric entrega “pleno respaldo” a Carlos Montes tras acusación constitucional  ,"['Gabriel Boric  Boric', 'Carlos Montes']"
5762,  Gabriel Boric  “Para conversar del Chile largo y su futuro”: Presidente Boric se reúne con Ricardo Lagos,"['Gabriel Boric', 'Presidente Boric', 'Ricardo Lagos']"
5768,  Carlos Montes  Líos de platas: oposición ingresa acusación constitucional contra el ministro Carlos Montes ,"['Carlos Montes  Líos de platas', 'Carlos Montes']"
5785,  Política  “Impresentable” y “¿Así o más cara de palo?”: exabanderados de Chile Vamos reaccionan a crítica de Luis Silva a Evelyn Matthei,"['Luis Silva', 'Evelyn Matthei']"
5821,  Elecciones  Tras triunfo del “En contra”: Francisco Vidal dice que Carta Magna vigente es “la Constitución firmada por el Presidente Ricardo Lagos”,"['Francisco Vidal', 'Ricardo Lagos']"
5893,  Gabriel Boric  “El responsable exclusivo es el Presidente”: oposición apunta a Boric tras nueva detención de indultado Luis Castillo ,"['Gabriel Boric', 'Luis Castillo']"
5895,  Luis Castillo  Las “advertencias” de la oposición a Boric por indulto a Luis Castillo: “Es un peligro para la sociedad”,"['Luis Castillo  Las “advertencias', 'Luis Castillo']"
5906,  Diego Ancalao  Decretan medidas cautelares para círculo de Diego Ancalao: ex candidato presidencial será formalizado el próximo lunes por delitos electorales,"['Diego Ancalao  Decretan', 'Diego Ancalao']"
5913,"  Carlos Montes  Ministro Montes ante declaración de Tatiana Rojas: “Yo no tuve acceso a ninguna información de ilegalidad, irregularidad, delito o nada por el estilo”","['Carlos Montes  Ministro Montes', 'Tatiana Rojas']"
5920,  Líos de platas  Catalina Pérez y detención de Daniel Andrade: “Es una buena noticia para el país”,"['Catalina Pérez', 'Daniel Andrade']"
5962,  Cambio de mando  Sonrisas y un extenso diálogo: cómo fue el saludo del Presidente Boric a Javier Milei en la Casa Rosada,"['Presidente Boric', 'Javier Milei']"
5969,"  Cambio de mando en Argentina  “Vamos a tener una relación extremadamente positiva”: Van Klaveren se reúne con Diana Mondino, futura canciller de Argentina","['Van Klaveren', 'Diana Mondino']"
5979,  Sergio Micco  Amarillos condena nueva funa contra Sergio Micco y llama al gobierno a querellarse contra los responsables,"['Sergio Micco  Amarillos', 'Sergio Micco']"
5980,  Irina Karamanos  “Fue muy traumático”: Irina Karamanos desclasifica acciones por crisis del gabinete con su nombre,"['Irina Karamanos', 'Irina Karamanos']"
5990,  UDI  UDI reflota proyecto “Antipitutos” de Miguel Crispi y Catalina Pérez,"['Miguel Crispi', 'Catalina Pérez']"
6000,  Gabriel Boric  Boric por indagación a tía de Miguel Crispi en líos de platas: “No juzgo a la gente por sus relaciones familiares”,"['Gabriel Boric  Boric', 'Miguel Crispi']"
6006,  José Antonio Kast  “¿Cuándo va a renunciar?”: El duro emplazamiento de José Antonio Kast a ministro Montes por líos de platas,"['José Antonio Kast', 'José Antonio Kast']"
6016,  Carlos Montes  ¿Se agota la línea de crédito? La inquietud que asoma en el PS por Carlos Montes,"['Carlos Montes  ¿', 'Carlos Montes']"
6023,  Nueva Constitución  Con Ana Lya Uriarte y Paulina Veloso en la lista: más de 200 abogados suscriben declaración por el ‘En contra’,"['Ana Lya Uriarte', 'Paulina Veloso']"
6033,  Luis Cordero  Cordero respalda dichos de Viera-Gallo sobre extradición de Galvarino Apablaza: “El embajador ha dado una opinión en nombre del Estado de Chile”,"['Luis Cordero  Cordero', 'Galvarino Apablaza']"
6037,  Rojo Edwards  Tras anunciar nueva agrupación política de corte “libertario”: Rojo Edwards descarta candidatura presidencial ,"['Rojo Edwards', 'Rojo Edwards']"
6048,  Víctor Jara  Vallejo dice que extradición de exmilitar Pedro Barrientos “es un momento muy importante” y que su llegada al país “más vale tarde que nunca”,"['Víctor Jara  Vallejo', 'Pedro Barrientos']"
6062,"  José Antonio Viera-Gallo  Tras cita con Boric, Viera-Gallo dice que extradición de Galvarino Apablaza desde Argentina “es una tarea que tiene el gobierno de Chile” ","['José Antonio Viera-Gallo', 'Galvarino Apablaza']"
6071,  Giorgio Jackson  Abogado de Giorgio Jackson dice que no han “desestimado” iniciar acciones legales por acusaciones contra el exministro en caso lío de platas  ,"['Giorgio Jackson', 'Giorgio Jackson']"
6078,  Javiera Martínez  Los complejos días de asedio parlamentario a Javiera Martínez,"['Javiera Martínez', 'Javiera Martínez']"
6089,  Lautaro Carmona  Lautaro Carmona defiende rol de Vallejo y dice que cuestionamientos del oficialismo a la ministra hacen “daño” ,"['Lautaro Carmona', 'Lautaro Carmona']"
6099,  Renzo Trisotti  Baja en la UDI: diputado Renzo Trisotti renuncia a su militancia ,"['Renzo Trisotti  Baja', 'Renzo Trisotti']"
6109,"  José Miguel Insulza  José Miguel Insulza, senador PS: “No es bueno que la ministra del Interior se involucre en todos los problemas personalmente”","['José Miguel Insulza', 'José Miguel Insulza']"
6114,  Camila Vallejo  Ministra Vallejo defiende su rol de vocera tras críticas de Lagos Weber,"['Camila Vallejo  Ministra Vallejo', 'Lagos Weber']"
6131,  José De Gregorio  “Desde el gobierno no compartimos que haya una lucha generacional”: Vallejo responde a críticas de José De Gregorio ,"['José De Gregorio  “', 'José De Gregorio']"
6145,  Gabriel Boric  Con agenda enfocada en la crisis climática: Presidente Boric se encuentra en la Antártica junto al secretario general de la ONU ,"['Gabriel Boric', 'Presidente Boric']"
6203,  Mario Marcel  Mario Marcel y caso Hermosilla: “Me impresionó mucho el descaro y la crudeza con la que se discute una estrategia”,"['Mario Marcel', 'Mario Marcel']"
6215,  Irina Karamanos  Irina Karamanos tras ruptura con Presidente Boric: “Seguiré apoyándolo incondicionalmente”,"['Irina Karamanos', 'Irina Karamanos', 'Presidente Boric']"
6222,"  Irina Karamanos  Presidente Boric por quiebre con Irina Karamanos: “Ella es una mujer extraordinaria, tiene toda mi admiración”","['Irina Karamanos', 'Presidente Boric', 'Irina Karamanos']"
6229,"  Alenadra Krauss  Alejandra Krauss, coordinadora de “la DC En contra”: la campaña es “similar” a la oficialista, “coincidimos en que es un texto que divide” ","['Alenadra Krauss', 'Alejandra Krauss']"
6240,  Sebastián Keitel  Keitel apunta a Gloria Hutt tras su salida de Evópoli: “Absoluta soberbia en la manera de dirigir el partido”,"['Sebastián Keitel  Keitel', 'Gloria Hutt']"
6241,  Jorge Sharp  Alcalde Jorge Sharp asegura que fallo que lo suspende de sus funciones “descarta notable abandono de deberes”,"['Jorge Sharp', 'Alcalde Jorge Sharp']"
6245,  Álvaro Elizalde  Tras audios de Luis Hermosilla: Elizalde apunta a una “eventual mafia de la evasión”,"['Álvaro Elizalde', 'Luis Hermosilla']"
6247,  Jorge Sharp  Tricel suspende por un mes de sus funciones a alcalde Jorge Sharp por “abandono de deberes”,"['Jorge Sharp', 'Jorge Sharp']"
6248,  Luis Hermosilla  Tras audio de Luis Hermosilla: diputados piden citar a Comisión de Economía a directores del SII y la CMF,"['Luis Hermosilla', 'Luis Hermosilla']"
6250,  Luis Hermosilla  Marcel afirma que el CDE está “a la espera” de información de Fiscalía para resolver sobre una querella por audios de Luis Hermosilla,"['Luis Hermosilla  Marcel', 'Luis Hermosilla']"
6254,  Luis Hermosilla  Miguel Crispi decide dejar de ser representado por Luis Hermosilla en caso de líos de platas tras revelación de audio,"['Luis Hermosilla  Miguel Crispi', 'Luis Hermosilla']"
6257,  Catalina Pérez  Líos de platas: Catalina Pérez niega acusaciones de gobernador de Antofagasta y “estudia acciones legales” en su contra,"['Catalina Pérez  Líos de platas', 'Catalina Pérez']"
6258,  Sebastián Keitel  Senador Sebastián Keitel renuncia a Evópoli por diferencias con directiva de Gloria Hutt ,"['Sebastián Keitel  Senador', 'Sebastián Keitel', 'Gloria Hutt']"
6271,"  Sergio Micco  Rectora Devés repudia funa a Sergio Micco, pero advierte “tendencia a extrapolar lo acontecido para juzgar a todo el estudiantado”","['Sergio Micco  Rectora Devés', 'Sergio Micco']"
6279,  Rodolfo Carter  Nuevo fichaje de Carter en La Florida: exfiscal Manuel Guerra asumirá la nueva “Defensoría de la Gente” ,"['Rodolfo Carter', 'Manuel Guerra']"
6285,"  Tatiana Rojas  “El conducto era conversar con la subsecretaria”: Tatiana Rojas, la autoridad que dejó el gobierno tras lío de platas ","['Tatiana Rojas', 'Tatiana Rojas']"
6286,  Catalina Pérez  “Me cuesta creerle” y “no hay por qué suponer que ella miente”: las reacciones de la esfera política ante dichos de Catalina Pérez,"['Catalina Pérez', 'Catalina Pérez']"
6305,"  Líos de plata  Líos de plata: bancada UDI exige a Boric “cumplir con su palabra” y remover a Carlos Montes, Miguel Crispi y Javiera Martínez","['Carlos Montes', 'Miguel Crispi', 'Javiera Martínez']"
6315,  Sergio Micco  “No fue censurado ni se le impidió el ingreso”: Facultad de Derecho aborda funa de estudiantes a Sergio Micco,"['Sergio Micco  “No', 'Sergio Micco']"
6319, Sergio Micco  Funa de estudiantes a Sergio Micco en facultad de Derecho de la Universidad de Chile: Amarillos acusa actitud “pasiva” de autoridades académicas ,"['Sergio Micco  Funa', 'Sergio Micco']"
6347,  Franco Parisi  Por el “A favor”: Franco Parisi define su postura para el plebiscito del 17 de diciembre   ,"['Franco Parisi', 'Franco Parisi']"
6352,"  Beatriz Hevia  “De un sectarismo extraordinario”, “excesivo”: personeros critican a Beatriz Hevia por “politizar” discurso de ceremonia de entrega de texto constitucional ","['Beatriz Hevia  “De un sectarismo extraordinario', 'Beatriz Hevia']"
6361,  Alberto van Klaveren  Embajador de Chile en Israel se reúne con Van Klaveren y canciller dice que diplomático permanecerá en Chile tras ser llamado a consulta,"['Alberto van Klaveren  Embajador de Chile', 'Van Klaveren']"
6364,  Ricardo Cifuentes  “No hay otra alternativa”: Ricardo Cifuentes (DC) llama a votar ‘En contra’ en el plebiscito del 17 de diciembre ,"['Ricardo Cifuentes', 'Ricardo Cifuentes']"
6385,  Gabriel Boric  En gira a Estados Unidos: Boric sostiene encuentro bilateral con Gustavo Petro de Colombia ,"['Gabriel Boric', 'Gustavo Petro']"
6419,  Antonia Rivas  “Volvimos a fracasar”: comisionada Antonia Rivas (CS) dice que la propuesta de nueva Constitución “es un texto de un solo sector” ,"['Antonia Rivas  “', 'Antonia Rivas']"
6438,  Lautaro Carmona  Plebiscito Constitucional: Lautaro Carmona adelanta que postura del PC “va en la dirección de no respaldar el proyecto”,"['Lautaro Carmona  ', 'Lautaro Carmona']"
6479,  Gabriel Boric  Presidente Boric se reunirá con Joe Biden en la Casa Blanca la próxima semana ,"['Gabriel Boric  Presidente Boric', 'Joe Biden']"
